uid,title,genre,episodes,members,popularity,ranked,score,img_url,link
96,Mobile Fighter G Gundam,"['Adventure', 'Comedy', 'Drama', 'Martial Arts', 'Mecha', 'Romance', 'Sci-Fi', 'Space', 'Sports']",49,49361,1910,1417,7.6,https://cdn.myanimelist.net/images/anime/1596/92392.jpg,https://myanimelist.net/anime/96/Mobile_Fighter_G_Gundam
194,Macross Zero,"['Adventure', 'Mecha', 'Military', 'Sci-Fi', 'Shounen']",5,30388,2545,1415,7.6,https://cdn.myanimelist.net/images/anime/12/76289.jpg,https://myanimelist.net/anime/194/Macross_Zero
5204,Kara no Kyoukai 6: Boukyaku Rokuon,"['Action', 'Magic', 'Mystery', 'Romance', 'Supernatural', 'Thriller']",1,133379,847,1414,7.6,https://cdn.myanimelist.net/images/anime/2/21739.jpg,https://myanimelist.net/anime/5204/Kara_no_Kyoukai_6__Boukyaku_Rokuon
31418,KanColle Movie,"['Action', 'Military', 'Sci-Fi', 'Drama']",1,29035,2621,1413,7.6,https://cdn.myanimelist.net/images/anime/7/87590.jpg,https://myanimelist.net/anime/31418/KanColle_Movie
2002,Heroic Age,"['Action', 'Mecha', 'Military', 'Sci-Fi', 'Space']",26,87359,1235,1412,7.6,https://cdn.myanimelist.net/images/anime/12/50435.jpg,https://myanimelist.net/anime/2002/Heroic_Age
37349,Goblin Slayer,"['Action', 'Adventure', 'Fantasy']",12,450543,171,1411,7.6,https://cdn.myanimelist.net/images/anime/1719/95621.jpg,https://myanimelist.net/anime/37349/Goblin_Slayer
40323,Gintama: Monster Strike-hen,"['Action', 'Comedy', 'Parody', 'Samurai']",2,5915,5407,1410,7.6,https://cdn.myanimelist.net/images/anime/1781/102825.jpg,https://myanimelist.net/anime/40323/Gintama__Monster_Strike-hen
7902,Fullmetal Alchemist: Brotherhood - 4-Koma Theater,"['Parody', 'Fantasy', 'Comedy', 'Military']",16,43983,2061,1409,7.6,https://cdn.myanimelist.net/images/anime/3/76154.jpg,https://myanimelist.net/anime/7902/Fullmetal_Alchemist__Brotherhood_-_4-Koma_Theater
2673,Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,"['Adventure', 'Comedy', 'Fantasy']",1,3218,6840,1408,7.6,https://cdn.myanimelist.net/images/anime/2/72432.jpg,https://myanimelist.net/anime/2673/Doraemon_Movie_27__Nobita_no_Shin_Makai_Daibouken_-_7-nin_no_Mahoutsukai
32108,Digimon Adventure tri. 2: Ketsui,"['Action', 'Adventure', 'Comedy', 'Drama']",1,58312,1709,1407,7.6,https://cdn.myanimelist.net/images/anime/2/77425.jpg,https://myanimelist.net/anime/32108/Digimon_Adventure_tri_2__Ketsui
8331,Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,"['Police', 'Comedy', 'Mystery', 'Shounen']",1,8714,4586,1406,7.6,https://cdn.myanimelist.net/images/anime/2/21912.jpg,https://myanimelist.net/anime/8331/Detective_Conan_Magic_File_4__Osaka_Okonomiyaki_Odyssey
34513,Days: Touin Gakuen-sen!,"['Sports', 'School', 'Shounen']",3,16401,3531,1405,7.6,https://cdn.myanimelist.net/images/anime/12/88505.jpg,https://myanimelist.net/anime/34513/Days__Touin_Gakuen-sen
1478,City Hunter: Goodbye My Sweetheart,"['Adventure', 'Comedy', 'Shounen']",1,4328,6086,1403,7.6,https://cdn.myanimelist.net/images/anime/1814/94961.jpg,https://myanimelist.net/anime/1478/City_Hunter__Goodbye_My_Sweetheart
2997,Hi no Tori: Houou-hen,"['Drama', 'Fantasy', 'Historical']",1,2281,7624,3876,6.98,https://cdn.myanimelist.net/images/anime/10/61253.jpg,https://myanimelist.net/anime/2997/Hi_no_Tori__Houou-hen
37894,Ling Yu 4th Season,['Fantasy'],12,738,10144,3881,6.98,https://cdn.myanimelist.net/images/anime/1753/92962.jpg,https://myanimelist.net/anime/37894/Ling_Yu_4th_Season
1400,Macross 7 Movie: Ginga ga Ore wo Yondeiru!,"['Action', 'Sci-Fi', 'Adventure', 'Music', 'Comedy', 'Drama', 'Mecha', 'Shounen']",1,7007,5014,3883,6.98,https://cdn.myanimelist.net/images/anime/8/80064.jpg,https://myanimelist.net/anime/1400/Macross_7_Movie__Ginga_ga_Ore_wo_Yondeiru
3162,Makiba no Shoujo Katri,"['Adventure', 'Drama', 'Historical', 'Slice of Life']",49,2068,7878,3886,6.98,https://cdn.myanimelist.net/images/anime/9/66877.jpg,https://myanimelist.net/anime/3162/Makiba_no_Shoujo_Katri
11285,Black★Rock Shooter (TV),"['Action', 'Drama', 'School', 'Slice of Life']",8,275548,355,4018,6.94,https://cdn.myanimelist.net/images/anime/5/53909.jpg,https://myanimelist.net/anime/11285/Black%E2%98%85Rock_Shooter_TV
857,Air Gear,"['Action', 'Comedy', 'Ecchi', 'Shounen', 'Sports']",25,266536,371,1402,7.6,https://cdn.myanimelist.net/images/anime/11/18227.jpg,https://myanimelist.net/anime/857/Air_Gear
16005,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,"['Action', 'Super Power', 'Supernatural', 'Shounen']",12,100398,1094,1401,7.61,https://cdn.myanimelist.net/images/anime/11/44522.jpg,https://myanimelist.net/anime/16005/Zettai_Karen_Children__The_Unlimited_-_Hyoubu_Kyousuke
33758,Wu Geng Ji,"['Action', 'Historical', 'Supernatural', 'Martial Arts', 'Fantasy']",30,2242,7706,1400,7.61,https://cdn.myanimelist.net/images/anime/10/81426.jpg,https://myanimelist.net/anime/33758/Wu_Geng_Ji
177,Tsubasa Chronicle,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Romance', 'Supernatural', 'Shounen']",26,177648,607,1399,7.61,https://cdn.myanimelist.net/images/anime/9/6555.jpg,https://myanimelist.net/anime/177/Tsubasa_Chronicle
14289,Sukitte Ii na yo.,"['Drama', 'Romance', 'School', 'Shoujo']",13,379859,233,1398,7.61,https://cdn.myanimelist.net/images/anime/11/39777.jpg,https://myanimelist.net/anime/14289/Sukitte_Ii_na_yo
13245,Shin Tennis no Ouji-sama Specials,"['Action', 'Comedy', 'Sports', 'Shounen']",7,8016,4764,1397,7.61,https://cdn.myanimelist.net/images/anime/7/39891.jpg,https://myanimelist.net/anime/13245/Shin_Tennis_no_Ouji-sama_Specials
23277,Saenai Heroine no Sodatekata,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",12,339978,284,1396,7.61,https://cdn.myanimelist.net/images/anime/7/68783.jpg,https://myanimelist.net/anime/23277/Saenai_Heroine_no_Sodatekata
36513,Rokuhoudou Yotsuiro Biyori,"['Seinen', 'Slice of Life']",12,18575,3320,1395,7.61,https://cdn.myanimelist.net/images/anime/1015/90727.jpg,https://myanimelist.net/anime/36513/Rokuhoudou_Yotsuiro_Biyori
36286,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,"['Psychological', 'Drama', 'Thriller', 'Fantasy']",1,114324,998,1394,7.61,https://cdn.myanimelist.net/images/anime/1081/95707.jpg,https://myanimelist.net/anime/36286/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Memory_Snow
5493,Ranma ½: Akumu! Shunmin Kou,"['Action', 'Comedy', 'Supernatural', 'Martial Arts', 'Shounen']",1,9948,4355,1393,7.61,https://cdn.myanimelist.net/images/anime/10/63469.jpg,https://myanimelist.net/anime/5493/Ranma_%C2%BD__Akumu_Shunmin_Kou
38483,Ore wo Suki nano wa Omae dake ka yo,"['Comedy', 'Romance', 'School']",12,135045,829,1419,7.6,https://cdn.myanimelist.net/images/anime/1348/102797.jpg,https://myanimelist.net/anime/38483/Ore_wo_Suki_nano_wa_Omae_dake_ka_yo
33338,One Piece: Heart of Gold,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen']",1,36957,2289,1392,7.61,https://cdn.myanimelist.net/images/anime/6/80109.jpg,https://myanimelist.net/anime/33338/One_Piece__Heart_of_Gold
